EmissionID,Year,TechID,Value
1,2015,1302,1.8632154198539e-4
1,2015,1320,0.008636072201118129
1,2015,1340,0.0010204957959730901
1,2015,1365,4.8214921869111797e-4
1,2015,1390,9.29654658728056e-4
1,2015,1410,0.0186382469598268
1,2015,1450,0.0030206813085126402
1,2015,1451,0.00280111441271313
1,2015,1452,0.00245412724927402
1,2015,1453,0.00226129710449586
1,2015,1460,8.6456382909052e-4
1,2015,1461,8.65137529586066e-4
1,2015,1464,0.0132858162849963
1,2015,1471,0.0682721633839401
1,2015,1472,0.013669894055311799
1,2015,1480,2.45537917257796e-4
1,2015,1510,0.00161082682594867
1,2015,1511,3.68310716126076e-4
1,2015,1520,0.0714711955628695
1,2015,1530,0.0337109516238047
1,2015,1540,0.0258426041160459
1,2015,1541,7.05598295895644e-4
1,2015,1542,2.2336888097311701e-4
1,2015,1551,5.07598135936948e-4
1,2015,1552,7.83197237557049e-4
1,2015,1553,2.39148002781801e-4
1,2015,1560,0.00913134703423984
1,2015,1570,0.0137033061961254
1,2015,1590,0.0131635669711876
1,2015,1592,2.94592328054578e-4
1,2015,1603,3.58964302349522e-5
1,2015,1610,0.0122403915727774
1,2015,1612,0.011572498208126501
1,2015,1613,1.63013826134992e-4
1,2015,1615,0.00672021414653162
1,2015,1630,0.0427750323120053
1,2015,1640,0.0283870284885393
1,2015,1650,0.039065427543006195
1,2015,1660,0.010173778726861699
1,2015,1670,1.0082734785034298e-5
1,2015,1675,0.00595727621771788
1,2015,1680,3.6148262797146903e-4
1,2015,1682,9.371825325431941e-6
1,2015,1685,2.88593489084284e-4
1,2015,1690,0.00896668921174926
1,2015,1702,2.0380685371480602e-9
1,2015,1721,5.66397308597115e-4
1,2015,1722,3.2265170455778004e-4
1,2015,1732,6.06044657679984e-4
1,2015,1733,3.30868714166346e-4
1,2015,2010,5.95625514106516e-11
1,2015,2020,0.0028382260970726703
1,2015,2030,0.013393462932320799
1,2015,2040,2.63490210029239e-10
1,2015,2050,0.0098821000045152
1,2015,2060,6.04323396228246e-11
1,2015,2070,0.0560876129115839
1,2015,2080,0.0438684066762927
1,2015,2090,0.002368631352406
1,2015,2100,0.015380862547939
1,2015,2110,0.10332507406947701
1,2015,2120,0.121777764403842
1,2015,2130,0.106718558049677
1,2015,2140,0.00587886304995208
1,2015,2150,0.0644927128518574
1,2015,2160,0.0878318807873686
1,2015,2170,0.0207981329602141
1,2015,2180,0.00161472142904027
1,2015,2190,0.0152820639436238
1,2015,2210,0.0057027777125826596
1,2015,2240,0.0293241901828794
1,2015,2250,0.029284969690061103
1,2015,2270,0.0183142187951469
1,2015,2300,0.0113446334436906
1,2015,2320,0.0013535380578299
1,2015,3010,0.47895913251198
1,2015,3020,0.368541523800711
1,2015,3030,0.690055469391169
1,2015,3040,0.554905485567447
1,2015,4010,4.8814719040218303e-4
1,2015,4040,0.00230766505237972
1,2015,4050,0.0649448027119198
1,2015,4060,0.00239534716800849
1,2015,4070,0.0557070427891469
1,2015,4090,2.47013811115111e-4
1,2015,4100,0.0152674051976675
1,2015,4120,0.060997570623803496
1,2015,4130,0.37880047877442496
1,2015,4140,0.0692887688896447
1,2015,4150,0.277707509099887
1,2015,4170,0.006357148399574791
1,2015,4190,0.0505686049166791
1,2015,4200,0.0583350230915988
1,2015,4210,0.28410111026740303
1,2015,4220,0.23034049587817002
1,2015,4230,0.052344540734743
1,2015,4250,0.0403245171875643
1,2015,4270,0.00596269068831867
1,2015,5000,2.2204633345779498e-4
1,2015,5001,0.06462405076003
1,2015,5002,0.0542937745227984
1,2015,5003,0.051463124535796295
1,2015,5004,0.00145151159717829
1,2015,5005,2.3507701451478e-4
1,2015,5012,0.0042628270149703005
1,2015,5013,1.81429789103446e-5
1,2015,5014,9.54822348434992e-4
1,2015,5016,0.00128359802438023
1,2015,5017,2.07882785580714e-4
1,2015,5025,8.98518499062126e-4
1,2015,5026,1.4551791365984202e-4
1,2015,5033,2.49806210499757e-5
1,2015,5034,4.1596845801935e-6
1,2015,5043,5.57959930875152e-5
1,2015,5044,9.1875951692687e-6
1,2015,5052,3.08507429749808e-5
1,2015,5053,5.08000925807118e-6
1,2015,5061,1.1766037543891199e-5
1,2015,5062,1.93744408995221e-6
1,2015,5070,4.9187050402247895e-5
1,2015,5071,8.09933898254492e-6
1,2015,5080,8.14623218295462e-6
1,2015,5081,1.3581691994677002e-6
1,2015,5201,0.00299260833097085
1,2015,5202,0.0881952391510972
1,2015,5203,0.0869137570875726
1,2015,5204,0.0018210570553953902
1,2015,5205,2.94916682020083e-4
1,2015,5212,0.00412924611899914
1,2015,5213,2.41778702424863e-5
1,2015,5214,2.95518379888282e-5
1,2015,5216,0.00177120176920728
1,2015,5217,2.8684262455693405e-4
1,2015,5225,0.0012398412198558798
1,2015,5226,2.00789790138901e-4
1,2015,5233,3.42848342004621e-5
1,2015,5234,5.7097959821827e-6
1,2015,5243,6.962510744632171e-5
1,2015,5244,1.14663727093068e-5
1,2015,5252,3.84971412733038e-5
1,2015,5253,6.33999098723316e-6
1,2015,5261,1.61483906717788e-5
1,2015,5262,2.6594328572482602e-6
1,2015,5270,6.137813280327969e-5
1,2015,5271,1.01081995019533e-5
1,2015,5280,1.2317919156913399e-5
1,2015,5281,2.04655700479066e-6
1,2015,5400,0.0497266163863688
1,2015,5401,0.0012845369616206201
1,2015,5402,0.04139965894338429
1,2015,5403,8.569889884388701e-4
1,2015,5404,1.7323499555397002e-4
1,2015,5405,2.8055084899725303e-5
1,2015,5412,3.38550646223584e-4
1,2015,5416,2.03592551295798e-4
1,2015,5417,3.2971421195443594e-5
1,2015,5425,1.4251476613719898e-4
1,2015,5426,2.3079987655833498e-5
1,2015,5433,4.01065191712566e-6
1,2015,5434,6.67599975138796e-7
1,2015,5443,6.74057744750919e-6
1,2015,5444,1.1095325511826099e-6
1,2015,5452,3.72700264092542e-6
1,2015,5453,6.13483188464228e-7
1,2015,5461,1.88904371359761e-6
1,2015,5462,3.10945807862904e-7
1,2015,5470,5.94216688583991e-6
1,2015,5471,9.78110230963382e-7
1,2015,5480,1.00781296970875e-6
1,2015,5481,1.6990297505292002e-7
1,2015,5600,0.00929943255323593
1,2015,5602,0.0072129253032438305
1,2015,5603,0.00697124837356157
1,2015,5604,8.21403472307528e-4
1,2015,5605,1.3302546348677e-4
1,2015,5612,0.0055638439446909
1,2015,5616,7.12485955398433e-4
1,2015,5617,1.15386337338997e-4
1,2015,5625,4.9874012308436e-4
1,2015,5626,8.07704138391522e-5
1,2015,5633,1.40731658591561e-5
1,2015,5634,2.34240072683437e-6
1,2015,5643,3.2046479927763e-5
1,2015,5644,5.27462310444227e-6
1,2015,5652,1.77191527790548e-5
1,2015,5653,2.91644662409532e-6
1,2015,5661,6.62855346728658e-6
1,2015,5662,1.0910140820191602e-6
1,2015,5670,2.82506301716519e-5
1,2015,5671,4.64985255345585e-6
1,2015,5680,3.3072654671923e-6
1,2015,5681,5.59419426952576e-7
1,2015,5802,0.044087896946260204
1,2015,5804,0.0142114444253895
1,2015,5805,0.00230152046416944
1,2015,5812,5.27668869160093e-4
1,2015,5816,0.015907343205662
1,2015,5817,0.00257616710251829
1,2015,5825,0.011135139866317501
1,2015,5826,0.0018033168562572
1,2015,5833,3.04421118442033e-4
1,2015,5834,5.07150540456875e-5
1,2015,5843,5.371847174377279e-4
1,2015,5844,8.84967646563703e-5
1,2015,5852,2.97020371732048e-4
1,2015,5853,4.8931671118295495e-5
1,2015,5861,1.4338438516802902e-4
1,2015,5862,2.36214158145524e-5
1,2015,5870,4.73556060347906e-4
1,2015,5871,7.80144770579422e-5
1,2015,5880,1.31078565153237e-4
1,2015,5881,2.16547255581157e-5
1,2015,9070,0.164485430283364
1,2015,9090,0.149102017664741
1,2015,9100,0.15710607155384398
1,2015,9110,0.15710607155384398
1,2015,9120,0.7111789630602601
1,2015,9130,0.0717808685054485
1,2015,9150,0.06792496222635479
1,2015,9160,0.07129594550131789
1,2015,9170,0.07129594550131789
1,2015,9181,0.703822737065183
1,2015,9190,0.00901612840651025
1,2015,9210,7.64493568091573e-4
1,2015,9220,0.00760075929653237
1,2015,9230,0.0098007148810608
1,2015,9240,1.32905075567549
1,2015,9250,0.0140930591943778
1,2015,9261,6.5264175539173805e-24
1,2015,9270,0.00544633598479103
1,2015,9275,1.40083174635286e-6
1,2015,9280,0.00544633598479103
1,2015,9290,0.00571858714426092
1,2015,9295,0.0012132154670207599
1,2015,9300,0.980336868487787
1,2015,9302,0.021090402641451803
1,2015,9305,1.2635792653707798
1,2015,9310,0.0074079761473278705
1,2015,9330,0.00502090071392156
1,2015,9340,0.00493298335412548
1,2015,9350,0.00530676190793498
1,2015,9351,7.95836112669317e-24
