EmissionID,Year,TechID,ETypeID,Value
5,2015,810,ED,3.28439581394196e-6
5,2015,850,ED,3.69494533538818e-6
5,2015,857,ED,4.71950173164259e-13
5,2015,865,ED,5.06977303302847e-11
5,2015,870,ED,8.766409149169919e-4
5,2015,890,ED,0.00350544897460938
5,2015,970,ED,3.45770965576172e-4
5,2015,980,ED,2.7661678314209e-4
5,2015,991,ED,4.68598142266274e-7
5,2015,1040,ED,1.8610874176025398e-4
5,2015,1050,ED,1.85850148200989e-5
5,2015,1051,ED,1.82160954475403e-5
5,2015,1110,ED,1.72397753340192e-9
5,2015,1131,ED,2.49233531951904e-6
5,2015,1132,ED,1.6749787902832e-4
5,2015,1142,ED,1.59335470199585e-6
5,2015,1152,ED,2.0480329132080102e-4
5,2015,1153,ED,1.28659236907959e-4
5,2015,1158,ED,1.6664795684814498e-4
5,2015,1159,ED,6.89524450302124e-5
5,2015,1163,ED,3.9967774391174305e-5
5,2015,1167,ED,2.86057829856873e-7
5,2015,1168,ED,3.9967774391174305e-5
5,2015,1180,ED,3.38612287305295e-9
5,2015,1200,ED,4.238035254478453e-4
5,2015,1220,ED,6.506518781185149e-6
5,2015,1221,ED,4.554558023810386e-6
5,2015,1222,ED,8.024957850575451e-7
5,2015,1251,ED,2.5247970456257475e-7
5,2015,1252,ED,4.521162016317252e-8
5,2015,1261,ED,2.714835428632796e-7
5,2015,1262,ED,4.8614646075293396e-8
5,2015,1301,ED,8.68230289779603e-8
5,2015,1302,ED,1.5547428047284437e-8
5,2015,1410,ED,6.163726545870299e-6
5,2015,1461,ED,2.534139193594453e-7
5,2015,1464,ED,1.146425452083349e-6
5,2015,1471,ED,1.993628360331058e-6
5,2015,1472,ED,3.5126975877210443e-7
5,2015,1480,ED,4.537890944629909e-8
5,2015,1510,ED,7.764731743372979e-8
5,2015,1511,ED,1.3904329316574141e-8
5,2015,1520,ED,3.168581495285033e-4
5,2015,1530,ED,1.7131294131279004e-5
5,2015,1541,ED,5.797123387455945e-7
5,2015,1542,ED,1.281487587839365e-7
5,2015,1552,ED,6.23346578329801e-7
5,2015,1553,ED,1.37794362846762e-7
5,2015,1560,ED,2.65901799201965e-4
5,2015,1570,ED,1.428551487922669e-4
5,2015,1590,ED,1.064493236541748e-4
5,2015,1592,ED,6.23346578329801e-7
5,2015,1610,ED,5.322466182708734e-5
5,2015,1612,ED,6.681196165084838e-5
5,2015,1615,ED,3.7969961464405037e-6
5,2015,1640,ED,1.284132614135742e-4
5,2015,1670,ED,5.410863198339934e-7
5,2015,1675,ED,3.3081418228149407e-4
5,2015,1680,ED,2.10248195379973e-6
5,2015,1682,ED,2.705431599169975e-7
5,2015,1690,ED,1.274537140130997e-5
5,2015,1721,ED,1.9553082436323203e-6
5,2015,1722,ED,4.408618248999119e-7
5,2015,1732,ED,2.10248195379973e-6
5,2015,1733,ED,4.74044958129525e-7
5,2015,5004,ED,1.4079300295561551e-6
5,2015,5005,ED,2.4807176506146793e-7
5,2015,5016,ED,4.231716170907019e-6
5,2015,5017,ED,7.45612321421504e-7
5,2015,5025,ED,2.962199829518791e-6
5,2015,5026,ED,5.21928022615611e-7
5,2015,5033,ED,5.62353858258575e-8
5,2015,5034,ED,1.0071265627630061e-8
5,2015,5043,ED,1.909356042742729e-7
5,2015,5044,ED,3.419489733641967e-8
5,2015,5052,ED,5.460971337743111e-8
5,2015,5053,ED,9.78012203995603e-9
5,2015,5061,ED,1.6413648938760162e-7
5,2015,5062,ED,2.9395409161225e-8
5,2015,5070,ED,1.7757011391222469e-7
5,2015,5071,ED,3.180125547805799e-8
5,2015,5204,ED,1.4466397203505039e-6
5,2015,5205,ED,2.548106289468708e-7
5,2015,5216,ED,4.7822442054748525e-6
5,2015,5217,ED,8.42343041673303e-7
5,2015,5225,ED,3.347570389509206e-6
5,2015,5226,ED,5.896399077028034e-7
5,2015,5233,ED,6.31923368200659e-8
5,2015,5234,ED,1.131755136884749e-8
5,2015,5243,ED,1.950768139213324e-7
5,2015,5244,ED,3.4937652177177395e-8
5,2015,5252,ED,5.57941470178775e-8
5,2015,5253,ED,9.99255836359225e-9
5,2015,5261,ED,1.844420335255563e-7
5,2015,5262,ED,3.303299465915186e-8
5,2015,5270,ED,1.814214494079351e-7
5,2015,5271,ED,3.249201795551928e-8
5,2015,5404,ED,4.81218458153308e-7
5,2015,5405,ED,8.477796666556969e-8
5,2015,5416,ED,1.922186359763146e-6
5,2015,5417,ED,3.3863873314112456e-7
5,2015,5425,ED,1.345529589802026e-6
5,2015,5426,ED,2.370467619039123e-7
5,2015,5433,ED,2.5854128296486988e-8
5,2015,5434,ED,4.62841815897264e-9
5,2015,5443,ED,6.605253450106829e-8
5,2015,5444,ED,1.182475473615341e-8
5,2015,5452,ED,1.889176150143612e-8
5,2015,5453,ED,3.382011658686681e-9
5,2015,5461,ED,7.54614952020347e-8
5,2015,5462,ED,1.3509151758626099e-8
5,2015,5470,ED,6.142885982990266e-8
5,2015,5471,ED,1.099702215287834e-8
5,2015,5604,ED,4.49177157599478e-7
5,2015,5605,ED,7.91426365613006e-8
