EmissionID,Year,TechID,ETypeID,Value
14,2015,1151,ET,1.45125305442845e-7
14,2015,1152,ET,3.23803127677368e-6
14,2015,1153,ET,1.88864459473853e-5
14,2015,1158,ET,3.23220618442884e-6
14,2015,1159,ET,3.23220618442884e-6
14,2015,1163,ET,3.23220618442884e-6
14,2015,1167,ET,2.46979811278867e-7
14,2015,1168,ET,2.40980975061389e-6
14,2015,1180,ET,6.43099683937364e-10
14,2015,1200,ET,5.36544832512459e-6
14,2015,1220,ET,2.1716477751285398e-5
14,2015,1221,ET,4.06174324634145e-6
14,2015,1222,ET,6.5950623547041e-7
14,2015,1251,ET,6.26135353137435e-7
14,2015,1252,ET,4.3405430773387496e-7
14,2015,1261,ET,6.26135353137435e-7
14,2015,1262,ET,4.3405430773387496e-7
14,2015,1280,ET,2.61232347430545e-7
14,2015,1301,ET,4.57096116937407e-7
14,2015,1302,ET,7.54407521638895e-8
14,2015,1365,ET,7.02216239577992e-7
14,2015,1410,ET,3.21562921594092e-6
14,2015,1461,ET,2.56191458566078e-6
14,2015,1464,ET,1.1907840479349e-5
14,2015,1471,ET,2.3337375830791998e-5
14,2015,1472,ET,1.2171002873550699e-5
14,2015,1480,ET,7.53542133186699e-7
14,2015,1510,ET,2.4089999131065798e-6
14,2015,1511,ET,7.283045604224509e-7
14,2015,1520,ET,2.10112832476013e-6
14,2015,1530,ET,1.60851959628475e-5
14,2015,1541,ET,4.5051349378481895e-7
14,2015,1542,ET,3.62085078372338e-7
14,2015,1552,ET,4.5051349378481895e-7
14,2015,1553,ET,3.62085078372338e-7
14,2015,1560,ET,2.09569602938828e-6
14,2015,1570,ET,2.07171060580632e-6
14,2015,1590,ET,2.0237395229856298e-6
14,2015,1592,ET,1.60935677312633e-6
14,2015,1603,ET,1.07311044333408e-7
14,2015,1610,ET,1.9757682687782e-6
14,2015,1612,ET,2.0851761956619098e-6
14,2015,1613,ET,6.86507652579858e-7
14,2015,1615,ET,1.07322963643544e-5
14,2015,1640,ET,5.3488236770075903e-5
14,2015,1670,ET,8.25551621136701e-9
14,2015,1675,ET,5.5108275159559705e-6
14,2015,1680,ET,4.44017884909064e-6
14,2015,1682,ET,8.043923052291079e-9
14,2015,1685,ET,1.85821862856659e-6
14,2015,1690,ET,2.80801033511291e-5
14,2015,1702,ET,3.05612926739004e-12
14,2015,1721,ET,1.2369574682823701e-6
14,2015,1722,ET,9.7130742776972e-7
14,2015,1732,ET,1.2369574682823701e-6
14,2015,1733,ET,9.7130742776972e-7
14,2015,2010,ET,1.3784272368381699e-14
14,2015,2020,ET,9.81119776247012e-7
14,2015,2030,ET,1.80021851641909e-5
14,2015,2040,ET,6.095563994756279e-14
